curator_PersonName,curator_organization,curator_email,modification_date,addit_contact_person,addit_contact_email,project_id,dataset_id,data_class,header_row,time_series,gradient_study,experiments,meta_tbl,key_modified,merge_align,align_1,key_version,network,homog_date,L1,L1_level,L2,L2_level,L3,L3_level,IGSN,layer_top,layer_bot,oc_ex,oc_ex_method
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,M,landscape position,IECZM002N,5,10,0.097919622,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,T,landscape position,IECZM003J,90,100,0.224450128,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,T,landscape position,IECZM003B,30,40,0.103325527,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,T,landscape position,IECZM003I,85,90,0.200820513,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,T,landscape position,IECZM003G,70,80,0.191491443,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,T,landscape position,IECZM003E,50,60,0.144883721,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,T,landscape position,IECZM0037,6,10,0.059033816,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,T,landscape position,IECZM003A,23,30,0.076435185,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,T,landscape position,IECZM003C,40,43,0.131586207,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,M,landscape position,IECZM002S,50,55,0.150957944,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,R,landscape position,IECZM0025,0,10,0.047489879,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,T,landscape position,IECZM002A,0,10,0.097295082,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,T,landscape position,IECZM002J,80,90,0.027145791,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,T,landscape position,IECZM002B,10,20,0.041871102,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,M,landscape position,IECZM0023,14,20,0.041178947,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,T,landscape position,IECZM002I,70,80,0.028916155,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,M,landscape position,IECZM0021,0,10,0.065562372,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,M,landscape position,IECZM0022,10,14,0.106,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,T,landscape position,IECZM002H,60,70,0.030709939,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,R,landscape position,IECZM0026,10,20,0.038857143,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,T,landscape position,IECZM002C,20,30,0.051656184,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,T,landscape position,IECZM002D,30,40,0.048183716,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,T,landscape position,IECZM002E,40,50,0.037183673,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,SD,site,M,landscape position,IECZM0024,20,30,0.070276008,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,T,landscape position,IECZM003K,100,105,0.164638404,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,T,landscape position,IECZM003L,105,110,0.056447689,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,T,landscape position,IECZM003M,110,120,0.036985646,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,T,landscape position,IECZM003N,120,127,0.061212121,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,R,landscape position,IECZM002V,0,6,0.189037433,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,R,landscape position,IECZM002W,6,10,0.126090909,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,R,landscape position,IECZM002X,10,20,0.126261261,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,R,landscape position,IECZM002Y,20,30,0.11800905,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,R,landscape position,IECZM002Z,30,40,0.069411765,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,R,landscape position,IECZM0030,40,50,0.078580931,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,R,landscape position,IECZM0031,50,60,0.063991031,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,R,landscape position,IECZM0032,60,70,0.074074074,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,R,landscape position,IECZM0033,70,80,0.072494577,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,CA,location,MC,site,R,landscape position,IECZM0034,80,85,0.057079646,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,IC,site,R,landscape position,IECZM0084,160,165,0.00955711,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,IC,site,T,landscape position,IECZM008D,40,50,0.051930836,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,IC,site,R,landscape position,IECZM007S,70,75,0.145041096,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,IC,site,T,landscape position,IECZM008A,10,20,0.129752322,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,M,landscape position,IECZM005Q,40,50,0.077777778,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,R,landscape position,IECZM006F,90,100,0.07912,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,R,landscape position,IECZM006C,60,70,0.0836875,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,M,landscape position,IECZM005R,50,60,0.08902439,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,M,landscape position,IECZM0061,150,160,0.01781155,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,M,landscape position,IECZM005M,0,10,0.264586466,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,R,landscape position,IECZM006A,40,50,0,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,T,landscape position,IECZM006R,10,20,0.211624549,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,R,landscape position,IECZM006I,120,130,0.034969697,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,R,landscape position,IECZM006N,170,180,0.013373134,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,M,landscape position,IECZM005Y,120,130,0.064492308,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,IC,site,M,landscape position,IECZM0070,20,30,0.163526316,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,IC,site,T,landscape position,IECZM008C,30,40,0.071320755,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,IC,site,T,landscape position,IECZM008E,50,60,0.05027027,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,IC,site,T,landscape position,IECZM008K,110,120,0.161828255,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,T,landscape position,IECZM006S,20,30,0.204569536,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,M,landscape position,IECZM005W,100,110,0.0376875,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,M,landscape position,IECZM005V,90,100,0.046397516,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,M,landscape position,IECZM0062,160,170,0.020061538,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,M,landscape position,IECZM005Z,130,140,0.054143302,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,EV,site,M,landscape position,IECZM005N,10,20,0.333848684,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,IC,site,M,landscape position,IECZM007J,180,190,0.020633245,hot water
Derek Pierson,CZN Geomicrobiology,derek.pierson@usda.gov,12/30/2022,Micah Unruh,micah.unruh@ku.edu,CZN_GeoMicro,EOC,analyte,1,YES,YES,NO,NO,YES,NO,IGSN,V3,CZN,1/3/2023 13:34,LUQ,location,IC,site,M,landscape position,IECZM007F,145,150,0.061229947,hot water
