"curator_PersonName","curator_organization","curator_email","modification_date","addit_contact_email","bibliographical_reference","project_id","dataset_id","data_class","time_series","gradient_study","experiments","meta_tbl","key_modified","merge_align","align_1","loc_comments","key_version","network","homog_date","L1","L1_level","L2","L2_level","L3","L3_level","IGSN","observation_date","layer_top","layer_bot","soil_moisture","enz_ag_wtd","enz_bg_wtd","enz_cb_wtd","enz_bx_wtd","enz_nag_wtd","enz_ap_wtd","enz_lap_wtd","enz_c_lnTrans","enz_n_lnTrans","enz_p_lnTrans"
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","R","landscape position","IECZM002W","10/19/2021",6,10,14.4,"1.77",13.03,2.08,2.78,9.01,72.45,0.74,3.190332,2.489223,4.282928
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","R","landscape position","IECZM002X","10/19/2021",10,20,13.8,"3.07",21.55,3.88,4.67,35.73,85.05,3.21,3.597295,3.719241,4.4432
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","R","landscape position","IECZM002Y","10/19/2021",20,30,14,"3.21",22.52,5.53,4.71,36.92,90.99,4.33,3.667799,3.773871,4.510751
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","R","landscape position","IECZM002Z","10/19/2021",30,40,11.7,"3.59",41.4,4.87,3.71,27.72,75.87,2.26,4.032089,3.474644,4.329028
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","R","landscape position","IECZM0030","10/19/2021",40,50,11.4,"7.29",14.73,6.49,7.29,24.5,50.51,1.55,3.553096,3.344469,3.922213
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","R","landscape position","IECZM0031","10/19/2021",50,60,11,"1.12",4.65,1.29,0.94,25.03,20.02,0.95,2.5859,3.342232,2.996813
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","R","landscape position","IECZM0032","10/19/2021",60,70,11.7,"0.14",4.96,-0.1,0.52,30.82,34.56,1.15,2.46668,3.534123,3.542731
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","R","landscape position","IECZM0033","10/19/2021",70,80,9.3,"1.35",8.28,0.66,0.9,9.26,36.49,1.4,2.787772,2.562499,3.597003
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","R","landscape position","IECZM0034","10/19/2021",80,85,8,"1.86",3.42,1.14,1.49,9.5,31.33,0.46,2.52195,2.506755,3.444675
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","R","landscape position","IECZM0035","10/19/2021",85,90,10.5,"2.26",4.32,1.08,2.11,25.07,30.74,1.1,2.632595,3.348877,3.425478
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM0036","10/19/2021",0,6,28.8,"271.09",60.28,12.18,10.75,52.99,179.39,9.98,4.49543,4.178539,5.18955
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM0037","10/19/2021",6,10,23.9,"5.9",38.62,6.48,6.83,36.81,139.34,7.25,4.066166,3.836452,4.936899
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM0038","10/19/2021",10,20,18.3,"7.52",33.59,5.3,6.59,36.81,121.2,5.63,3.948856,3.800874,4.79745
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM0039","10/19/2021",20,23,18,"8.22",31.52,9.55,10.32,24.37,106.52,1.47,4.057037,3.337406,4.668341
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM003A","10/19/2021",23,30,17.2,"2.86",18.55,5.43,3.87,16.63,91.6,0.45,3.533676,2.96423,4.517383
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM003B","10/19/2021",30,40,14.2,"10.08",21.62,8.58,10.37,17.91,111.2,2.3,3.849406,3.113696,4.711305
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM003C","10/19/2021",40,43,14.1,"4.02",10.19,3.42,6.26,11.58,114.46,1.71,3.268467,2.746547,4.740268
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM003D","10/19/2021",43,50,15.6,"6.97",16.3,6.1,7.25,13.94,111.75,-0.03,3.584956,2.785479,4.716255
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM003E","10/19/2021",50,60,14,"2.71",13.97,1.63,3.45,16.5,105.88,0.24,3.237055,2.94611,4.662264
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM003F","10/19/2021",60,70,16.4,"3.5",10.84,0.96,3.41,30.05,91.35,-0.9,3.073161,3.448487,4.51475
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM003G","10/19/2021",70,80,20.7,"3.7",6.97,1.39,3.06,6.29,82.97,-0.53,2.880382,2.086719,4.418511
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM003H","10/19/2021",80,85,24.4,"1.85",7.48,0.82,1.45,7.18,125.68,0.45,2.782034,2.296263,4.833718
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM003I","10/19/2021",85,90,23.8,"8.79",13.71,3.47,4.08,19.25,107.29,-0.02,3.320101,3.069403,4.675578
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM003J","10/19/2021",90,100,27,"5.59",10.77,0.64,4.44,7.67,166.68,-0.12,3.102512,2.287276,5.116064
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM003K","10/19/2021",100,105,20.9,"5.65",7.1,3.2,4.58,7.21,69.67,-0.5,3.057619,2.19863,4.243699
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM003L","10/19/2021",105,110,20.3,"1.98",0.76,0.37,0.99,0.93,22.09,-0.9,2.14234,0.8455,3.095042
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM003M","10/19/2021",110,120,24.5,"2.18",0.43,0.58,0.84,0.43,20.28,-1.7,2.108949,0.036362,3.009643
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","MC","site","T","landscape position","IECZM003N","10/19/2021",120,127,20.6,"8.24",7.9,6.58,7.25,8.08,24.09,-0.25,3.336813,2.315424,3.181879
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","SD","site","M","landscape position","IECZM0021","10/19/2021",0,10,3.4,"2.27",48.44,7.45,11.11,10.74,85.93,6.03,4.296045,2.947992,4.453527
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","SD","site","M","landscape position","IECZM0022","10/19/2021",10,14,5.4,"1.68",41.65,8.7,6.58,7.28,67.87,2.57,4.148494,2.498005,4.217609
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","SD","site","M","landscape position","IECZM0023","10/19/2021",14,20,5.8,"-0.37",53.82,5.97,1.19,19.43,109.92,2.78,4.210244,3.199452,4.699722
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","SD","site","M","landscape position","IECZM0024","10/19/2021",20,30,6.4,"0.82",44.07,4.85,5.43,19.68,105.68,1.37,4.106755,3.150782,4.660452
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","SD","site","R","landscape position","IECZM0025","10/19/2021",0,10,1,"5.26",46.81,10.19,11.31,39.65,103.68,3.06,4.313637,3.806745,4.641312
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","SD","site","R","landscape position","IECZM0026","10/19/2021",10,20,2.5,"1.59",27.53,1.56,4.51,12.58,63.47,2.18,3.689,2.836631,4.150508
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","SD","site","R","landscape position","IECZM0027","10/19/2021",20,30,4,"1.14",22.19,3.87,3.45,39.32,94.5,1.29,3.581039,3.758975,4.548547
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","SD","site","R","landscape position","IECZM0028","10/19/2021",30,40,4.6,"2.43",22,4.47,4.86,26.48,88.95,1.23,3.630418,3.401649,4.48811
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","SD","site","R","landscape position","IECZM0029","10/19/2021",40,50,4.1,"2.28",14.9,2.63,4.24,25.62,77.24,1.13,3.338434,3.369018,4.346947
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","SD","site","T","landscape position","IECZM002A","10/19/2021",0,10,3.1,"1.84",45.07,6.62,8.14,22.84,97.47,1.93,4.19306,3.298622,4.579546
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","SD","site","T","landscape position","IECZM002B","10/19/2021",10,20,5,"3.18",22.25,6.11,6.47,11.99,41.69,1.04,3.719251,2.730124,3.730342
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","SD","site","T","landscape position","IECZM002C","10/19/2021",20,30,4,"2.65",26.35,3.9,4.35,6.47,68.23,1.27,3.713526,2.305926,4.222877
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","SD","site","T","landscape position","IECZM002D","10/19/2021",30,40,3.6,"3.86",20.97,6.74,6,9.36,56.11,2.07,3.691753,2.619622,4.027261
"Yang Yang","University of California, Merced","yangy48@gmail.com","44923","Emma Aronson, Yang Yang","emmaa@ucr.edu; yyang103@ucmerced.edu","CZN_GeoMicro","Enzymes","ID","YES","YES","NO","NO","YES","NO","IGSN","Added profile vars for soil enzyme activity. Expect data to be aligned with corresponding IGSN data table.","V3","CZN",2022-12-29 14:36:43,"CA","location","SD","site","T","landscape position","IECZM002E","10/19/2021",40,50,3.6,"0.84",12.53,0.62,1.72,22.43,48.33,0.92,3.057096,3.244657,3.878135
